iter	RMSE
0	0.5508882989
1	0.5415167378
2	0.5328466044
3	0.5247278627
4	0.516929538
5	0.509885047
6	0.5031915718
7	0.4970550573
8	0.4914432723
9	0.4860379719
10	0.4809483891
11	0.4762192121
12	0.4719541788
13	0.4680129781
14	0.4641872358
15	0.4608405613
16	0.4575883117
17	0.4544206107
18	0.4515288052
19	0.4486770557
20	0.4461312305
21	0.4436791292
22	0.4414066415
23	0.4392461705
24	0.4372044345
25	0.4353011764
26	0.4331695512
27	0.4313006977
28	0.4294991237
29	0.4276760891
30	0.4260478774
31	0.4245440947
32	0.4231565829
33	0.421783622
34	0.4204914617
35	0.4192417135
36	0.4180050961
37	0.4168024349
38	0.4157427535
39	0.4146604334
40	0.4136949408
41	0.4127820796
42	0.4119337217
43	0.4110516352
44	0.4102673593
45	0.4094299779
46	0.4087044727
47	0.4080192411
48	0.4074046955
49	0.4067823676
50	0.4061302907
51	0.4055854694
52	0.4049750704
53	0.404462471
54	0.4039806057
55	0.4034613676
56	0.4029716505
57	0.4024965524
58	0.402081643
59	0.4015857279
60	0.4011765458
61	0.4007865609
62	0.4003690507
63	0.3999664738
64	0.3995974512
65	0.3992693283
66	0.3989491907
67	0.3986114312
68	0.3983433411
69	0.3979779633
70	0.3976544872
71	0.397356623
72	0.3970758735
73	0.3967861091
74	0.3965302226
75	0.3962605529
76	0.3960048487
77	0.3957187247
78	0.3954950231
79	0.3952559949
80	0.3950509691
81	0.3947722351
82	0.3945594446
83	0.3943724984
84	0.3941782239
85	0.3939443222
86	0.3937466575
87	0.3935890159
88	0.3934258365
89	0.3932620268
90	0.3930569578
91	0.3928635137
92	0.3926784604
93	0.39246735
94	0.3922761146
95	0.3921256814
96	0.3919351172
97	0.3917550919
98	0.3915348912
99	0.3913681435
100	0.3912534422
101	0.3910493035
102	0.3908954487
103	0.3907542985
104	0.3906303054
105	0.3904754732
106	0.3903444496
107	0.3902507325
108	0.390146702
109	0.390031805
110	0.3899320815
111	0.3897694069
112	0.3896667535
113	0.3895867312
114	0.3894441022
115	0.3893353626
116	0.3892365042
117	0.3890156146
118	0.3889426757
119	0.38876639
120	0.3885407983
121	0.3882922164
122	0.3881317035
123	0.3880325731
124	0.3878346611
125	0.3876849733
126	0.3876127143
127	0.3874602486
128	0.3873628338
129	0.3872744771
130	0.3871571143
131	0.3869933438
132	0.3868733705
133	0.3867879738
134	0.3866878853
135	0.3865373936
136	0.386406346
137	0.3862864974
138	0.3862240391
139	0.3861266354
140	0.3860197756
141	0.3858997954
142	0.3857881359
143	0.3856548545
144	0.385551332
145	0.3854702294
146	0.3853929884
147	0.3853069069
148	0.3852188915
149	0.3851320984
150	0.3850543146
151	0.3849897163
152	0.3848927773
153	0.3848124637
154	0.38468454
155	0.3846283034
156	0.3845417636
157	0.3844814335
158	0.3844280098
159	0.3843151022
160	0.3842325544
161	0.3841267036
162	0.3840457253
163	0.3839546688
164	0.3838736149
165	0.3837906908
166	0.3837319199
167	0.38368387
168	0.3836082116
169	0.3835434624
170	0.3834797629
171	0.383408336
172	0.3833144094
173	0.3832277376
174	0.3831594015
175	0.3830739937
176	0.3830057796
177	0.3829683675
178	0.3829141958
179	0.3828430378
180	0.3827820513
181	0.3827424945
182	0.3826708818
183	0.3826271232
184	0.3825524733
185	0.3824874218
186	0.3824159121
187	0.382361941
188	0.3822947352
189	0.3822459427
190	0.3822062727
191	0.3821487787
192	0.3821113011
193	0.3820632733
194	0.3820151175
195	0.3819500911
196	0.3818841035
197	0.3818326021
198	0.3817591383
199	0.3817042482
200	0.381645832
201	0.3816055038
202	0.3815591204
203	0.3814566382
204	0.3814058243
205	0.3813622132
206	0.3813291389
207	0.381294021
208	0.3812406318
209	0.3812072417
210	0.3811612747
211	0.3811019616
212	0.3810663012
213	0.3810130209
214	0.380960759
215	0.3809186462
216	0.3808814359
217	0.3808302709
218	0.3807863361
219	0.3807483358
220	0.3806938864
221	0.3806682077
222	0.3806198535
223	0.3805955376
224	0.3805706106
225	0.3805169598
226	0.3804855374
227	0.3804542775
228	0.3804051562
229	0.38037568
230	0.3803425765
231	0.3803035805
232	0.3802662882
233	0.3802340144
234	0.3802079976
235	0.3801758456
236	0.3801484094
237	0.3801129948
238	0.3800784725
239	0.3800271449
240	0.3799918305
241	0.379973144
242	0.3799525884
243	0.3798942692
244	0.3798611655
245	0.3798347957
246	0.3798079257
247	0.3797625474
248	0.3797351822
249	0.3797076074
250	0.3796814995
251	0.3796616167
252	0.379622453
253	0.3795900054
254	0.3795405764
255	0.3794933287
256	0.3794644859
257	0.3794330698
258	0.3793966857
259	0.3793736596
260	0.3793479992
261	0.3793241772
262	0.3792996668
263	0.3792691268
264	0.3792206923
265	0.3792006623
266	0.3791775395
267	0.3791501707
268	0.3791290583
269	0.3791082063
270	0.3790762791
271	0.3790545411
272	0.3790295287
273	0.3790085072
274	0.3789735576
275	0.3789468509
276	0.3789237612
277	0.3788996797
278	0.3788589949
279	0.378829624
280	0.3788079469
281	0.3787872797
282	0.3787565207
283	0.3787172237
284	0.3787019972
285	0.3786798548
286	0.3786621006
287	0.3786384632
288	0.3786135005
289	0.3785951665
290	0.3785769964
291	0.3785593031
292	0.3785402076
293	0.3785143975
294	0.3784798386
295	0.3784469506
296	0.3784319174
297	0.3784129974
298	0.3783897123
299	0.3783666888
300	0.3783455322
301	0.3783172175
302	0.3782935941
303	0.3782786741
304	0.3782531119
305	0.3782287277
306	0.378208332
307	0.3781950679
308	0.3781721221
309	0.3781487815
310	0.3781311358
