iter	Passed	Remaining
0	493	493469
1	856	427264
2	1107	368016
3	1415	352509
4	1655	329472
5	1857	307712
6	2153	305541
7	2476	307125
8	2705	297951
9	2993	296333
10	3221	289670
11	3485	287004
12	3791	287866
13	4079	287279
14	4371	287077
15	4607	283359
16	4906	283693
17	5134	280124
18	5408	279272
19	5606	274727
20	5893	274747
21	6119	272029
22	6388	271366
23	6697	272368
24	7010	273394
25	7326	274467
26	7671	276462
27	7941	275694
28	8163	273322
29	8572	277192
30	9083	283944
31	9509	287663
32	9836	288240
33	10213	290177
34	10593	292066
35	10943	293048
36	11346	295307
37	11725	296842
38	12060	297173
39	12427	298257
40	12764	298569
41	13145	299844
42	13517	300843
43	13819	300257
44	14103	299305
45	14446	299606
46	14783	299763
47	15131	300099
48	15521	301242
49	15918	302460
50	16299	303303
51	16641	303393
52	16991	303611
53	17360	304125
54	17772	305357
55	18157	306086
56	18556	307002
57	18867	306441
58	19267	307296
59	19659	308002
60	20000	307881
61	20366	308129
62	20685	307654
63	21009	307264
64	21311	306556
65	21790	308370
66	22077	307444
67	22509	308508
68	22910	309125
69	23271	309179
70	23724	310419
71	24088	310475
72	24573	312048
73	25092	313993
74	25536	314954
75	25921	315149
76	26309	315367
77	26683	315418
78	27049	315347
79	27374	314807
80	27821	315656
81	28197	315673
82	28599	315973
83	28918	315346
84	29254	314918
85	29561	314176
86	29914	313932
87	30256	313564
88	30602	313248
89	30912	312557
90	31342	313077
91	31773	313590
92	32163	313680
93	32510	313348
94	32884	313264
95	33170	312354
96	33557	312395
97	33890	311929
98	34204	311298
99	34678	312108
100	35075	312208
101	35383	311513
102	35692	310837
103	35988	310051
104	36341	309770
105	36841	310723
106	37302	311319
107	37662	311064
108	38106	311493
109	38503	311526
110	38842	311093
111	39251	311211
112	39575	310651
113	39896	310075
114	40250	309752
115	40635	309672
116	41031	309662
117	41402	309462
118	41850	309836
119	42257	309889
120	42620	309613
121	42853	308403
122	43141	307601
123	43542	307610
124	43828	306800
125	44147	306231
126	44546	306212
127	44921	306030
128	45302	305879
129	45677	305688
130	45996	305122
131	46343	304746
132	46753	304777
133	47129	304581
134	47453	304056
135	47703	303059
136	47977	302222
137	48431	302523
138	48783	302176
139	49163	302003
140	49507	301608
141	49890	301449
142	50264	301235
143	50590	300731
144	50900	300139
145	51235	299694
146	51698	299993
147	52042	299597
148	52604	300446
149	53179	301353
150	53861	302836
151	54282	302836
152	54586	302189
153	54963	301943
154	55299	301472
155	55693	301314
156	56098	301215
157	56572	301478
158	57032	301662
159	57351	301094
160	57687	300620
161	58024	300150
162	58333	299540
163	58712	299290
164	59024	298697
165	59390	298383
166	59809	298333
167	60234	298305
168	60623	298096
169	60972	297688
170	61566	298472
171	61962	298286
172	62400	298293
173	62753	297899
174	63134	297635
175	63605	297788
176	63934	297278
177	64479	297763
178	64815	297282
179	65241	297212
180	65615	296900
181	66023	296743
182	66372	296318
183	66878	296593
184	67281	296401
185	67582	295764
186	67910	295247
187	68262	294837
188	68655	294600
189	69079	294498
190	69509	294416
191	69851	293959
192	70213	293587
193	70526	293014
194	70909	292729
195	71228	292181
196	71583	291783
197	72020	291718
198	72261	290860
199	72607	290431
200	72961	290030
201	73292	289540
202	73669	289233
203	74005	288767
204	74253	287958
205	74581	287465
206	74978	287235
207	75392	287070
208	75720	286580
209	76095	286263
210	76473	285959
211	76729	285201
212	77173	285141
213	77559	284868
214	77868	284309
215	78308	284231
216	78758	284182
217	79132	283859
218	79555	283710
219	79980	283567
220	80405	283418
221	80849	283336
222	81288	283234
223	81612	282728
224	82041	282588
225	82449	282370
226	82799	281957
227	83221	281784
228	83583	281411
229	83971	281121
230	84343	280780
231	84785	280669
232	85181	280402
233	85477	279812
234	85884	279580
235	86274	279295
236	86690	279093
237	87161	279063
238	87521	278675
239	87911	278386
240	88309	278119
241	88717	277882
242	89122	277636
243	89398	276989
244	89728	276510
245	90103	276170
246	90769	276716
247	91225	276620
248	91633	276371
249	92046	276139
250	92452	275883
251	92862	275638
252	93230	275269
253	93636	275011
254	93958	274505
255	94269	273971
256	94764	273968
257	95087	273469
258	95375	272869
259	95740	272491
260	96141	272217
261	96578	272042
262	97070	272019
263	97554	271971
264	97907	271555
265	98473	271727
266	99014	271826
267	99441	271607
268	99966	271656
269	100500	271724
270	100947	271552
271	101555	271811
272	101972	271552
273	102443	271437
274	102852	271157
275	103269	270894
276	103668	270585
277	104060	270257
278	104407	269813
279	104778	269431
280	105171	269103
281	105625	268931
282	105962	268462
283	106268	267915
284	106681	267638
285	107070	267302
286	107510	267091
287	107959	266899
288	108378	266634
289	108808	266394
290	109403	266553
291	109880	266421
292	110241	266009
293	110654	265720
294	110954	265161
295	111336	264800
296	111771	264564
297	112147	264185
298	112518	263797
299	112877	263379
300	113320	263159
301	113702	262794
302	114037	262323
303	114440	262008
304	114760	261503
305	115092	261027
306	115457	260624
307	115868	260327
308	116238	259938
309	116614	259562
310	117053	259324
311	117455	259003
312	117861	258692
313	118266	258379
314	118668	258056
315	119030	257647
316	119379	257212
317	119779	256885
318	120246	256700
319	120596	256268
320	120970	255885
321	121321	255453
322	121719	255121
323	122108	254768
324	122357	254127
325	122761	253806
326	123142	253440
327	123528	253082
328	123949	252796
329	124305	252378
330	124712	252062
331	125085	251677
332	125478	251333
333	125796	250839
334	126078	250275
335	126394	249780
336	126654	249174
337	126938	248618
338	127276	248169
339	127675	247839
340	128069	247501
341	128327	246899
342	128765	246645
343	129131	246251
344	129581	246016
345	129993	245710
346	130297	245199
347	130674	244826
348	130908	244186
349	131261	243770
350	131606	243341
351	132010	243019
352	132326	242536
353	132753	242256
354	133134	241892
355	133577	241639
356	133993	241338
357	134348	240926
358	134768	240631
359	135093	240166
360	135477	239806
361	135839	239407
362	136213	239030
363	136642	238749
364	137131	238571
365	137477	238143
366	138000	238023
367	138362	237622
368	138739	237248
369	139053	236767
370	139441	236412
371	139748	235919
372	140152	235591
373	140473	235123
374	140793	234656
375	141103	234171
376	141477	233793
377	141844	233405
378	142146	232910
379	142535	232557
380	142974	232286
381	143528	232200
382	143999	231977
383	144414	231665
384	144842	231371
385	145203	230971
386	145614	230649
387	145945	230202
388	146215	229659
389	146575	229258
390	147139	229175
391	148534	230380
392	148958	230070
393	149331	229682
394	149778	229407
395	150125	228978
