iter	RMSE
0	0.5525271153
1	0.5461401633
2	0.5399935339
3	0.5341230206
4	0.528565426
5	0.5232677857
6	0.5182124943
7	0.5133355112
8	0.5086492281
9	0.5041293501
10	0.499818006
11	0.4957618714
12	0.4918060591
13	0.4881041668
14	0.4845342549
15	0.4811169543
16	0.4778209985
17	0.4746170383
18	0.4716041213
19	0.4687950358
20	0.4660673228
21	0.4633849517
22	0.460855132
23	0.4584739528
24	0.4560859596
25	0.4538508078
26	0.4517232504
27	0.4497008473
28	0.4477660196
29	0.4459082182
30	0.4441211082
31	0.4423386042
32	0.4406546452
33	0.4389956555
34	0.4373835159
35	0.4358471705
36	0.4344278024
37	0.433056322
38	0.431738079
39	0.430373095
40	0.4291655198
41	0.4279429103
42	0.4267293582
43	0.4255878652
44	0.4245313167
45	0.4233285556
46	0.4221869668
47	0.4211143351
48	0.4200576699
49	0.4190238213
50	0.4180765141
51	0.4171348446
52	0.4162426873
53	0.415377317
54	0.4145303948
55	0.4137636106
56	0.4129723033
57	0.4122333688
58	0.4115139638
59	0.4108113761
60	0.4101023401
61	0.4094554861
62	0.4088237052
63	0.4081956717
64	0.4076127383
65	0.4070532224
66	0.4065049448
67	0.4059411378
68	0.4053892268
69	0.4049035859
70	0.4044255493
71	0.4039548349
72	0.4034919416
73	0.4030548806
74	0.4026436065
75	0.4022272168
76	0.4018298237
77	0.4014185887
78	0.4010538837
79	0.400690689
80	0.4003623576
81	0.4000251494
82	0.3996958403
83	0.3993842112
84	0.3990772837
85	0.3987292631
86	0.398405971
87	0.3981134152
88	0.3978320759
89	0.3975844719
90	0.3973171681
91	0.3970321527
92	0.3967751159
93	0.3965126453
94	0.3962786138
95	0.3960231031
96	0.3957752721
97	0.3955451291
98	0.3953375796
99	0.3951315634
100	0.3949166817
101	0.3947279429
102	0.3945044905
103	0.3943327767
104	0.3941036682
105	0.3938522384
106	0.3936641272
107	0.3934177779
108	0.3931950528
109	0.3930362873
110	0.3928262792
111	0.3926136611
112	0.3924149942
113	0.3922145702
114	0.3920161858
115	0.3918888785
116	0.3917301651
117	0.3915248099
118	0.3913745359
119	0.3911817079
120	0.3909965029
121	0.3908860689
122	0.3907473912
123	0.3905933377
124	0.390447775
125	0.3902613352
126	0.3901414794
127	0.390011494
128	0.3898822993
129	0.3897368756
130	0.3895943876
131	0.3894565822
132	0.3893211247
133	0.3891843862
134	0.3890649802
135	0.3889727399
136	0.388807792
137	0.3886653587
138	0.3885223012
139	0.3883953066
140	0.388239921
141	0.3881421911
142	0.3880203861
143	0.387909689
144	0.3877775851
145	0.3876295237
146	0.3874976534
147	0.3874001934
148	0.3872890498
149	0.3871685429
150	0.3870810552
151	0.3869938762
152	0.3869220134
153	0.3868346125
154	0.3867609849
155	0.3866406741
156	0.3865504984
157	0.3864574584
158	0.3863352734
159	0.3862270044
160	0.3861334083
161	0.3860456917
162	0.3859681545
163	0.3859095601
164	0.3858001722
165	0.3857310568
166	0.3856516009
167	0.3855545889
168	0.3854795432
169	0.3854178162
170	0.3853453959
171	0.3852724654
172	0.3851972137
173	0.3850939936
174	0.3850333227
175	0.3849656168
176	0.3849147343
177	0.3848367042
178	0.3847517501
179	0.3846618854
180	0.384589184
181	0.3845119504
182	0.3844166462
183	0.3843475968
184	0.3842939173
185	0.3842315725
186	0.3841224682
187	0.3840653605
188	0.3840012396
189	0.3839491314
190	0.3838868046
191	0.3838355031
192	0.3837770085
193	0.3836792063
194	0.3836197148
195	0.3835442266
196	0.3834592836
197	0.383409339
198	0.3833541123
199	0.383289872
200	0.3832303954
201	0.3831691913
202	0.3831122639
203	0.3830622544
204	0.3829967082
205	0.3829375862
206	0.3828830183
207	0.3828259436
208	0.3827871164
209	0.3827339215
210	0.3826638138
211	0.3826266852
212	0.382585655
213	0.3825484472
214	0.3824853289
215	0.3824300652
216	0.3823710437
217	0.3823313589
218	0.3822790264
219	0.3822193534
220	0.3821728193
221	0.3821155556
222	0.3820563242
223	0.3819986288
224	0.3819392954
225	0.3818785963
226	0.3818247178
227	0.3817761386
228	0.3817180359
229	0.3816595746
230	0.3816192899
231	0.3815705617
232	0.381537847
233	0.381483834
234	0.3814353592
235	0.3813966368
236	0.3813670627
237	0.3813121519
238	0.3812657032
239	0.381235543
240	0.3811813122
241	0.3811430642
242	0.3810955029
243	0.3810501659
244	0.3810099954
245	0.3809694754
246	0.3809411845
247	0.3809052455
248	0.3808701264
249	0.3808273651
250	0.3808025647
251	0.3807701352
252	0.3807405552
253	0.3806969772
254	0.3806527932
255	0.3806015622
256	0.3805729896
257	0.3805465606
258	0.3805115125
259	0.3804770208
260	0.380441008
261	0.3803697228
262	0.3803418543
263	0.3803010631
264	0.3802572072
265	0.3802309868
266	0.3801662746
267	0.3801212236
268	0.3800731379
269	0.3800377898
270	0.3800059456
271	0.3799698798
272	0.3799359702
273	0.3799013575
274	0.3798714893
275	0.379836205
276	0.379808627
277	0.3797816025
278	0.3797446273
279	0.3797134926
280	0.3796702134
281	0.3796373482
282	0.3795885284
283	0.3795634229
284	0.3795256013
285	0.3794907295
286	0.3794566672
287	0.3794063839
288	0.3793601016
289	0.3793248849
290	0.3792953336
291	0.3792699847
292	0.3792423005
293	0.3791999043
294	0.3791630193
295	0.3791352002
296	0.3791120628
297	0.3790819921
298	0.3790581135
299	0.3790374706
300	0.3790118872
301	0.378992428
302	0.3789717327
303	0.3789532174
304	0.3789278247
305	0.3788962003
306	0.3788726419
307	0.3788495985
308	0.3788205816
309	0.3787969573
310	0.3787656446
311	0.3787273959
312	0.3787055554
313	0.3786802287
314	0.3786540658
315	0.3786253109
316	0.3786017053
317	0.3785769791
318	0.3785570711
319	0.3785347038
320	0.3785093343
321	0.3784955664
322	0.3784644511
323	0.3784414193
324	0.378403613
325	0.3783697892
326	0.3783429109
327	0.3783094973
328	0.3782790696
329	0.3782624276
330	0.3782387156
331	0.3782164379
332	0.3781979915
333	0.378173717
334	0.378151968
335	0.3781238923
336	0.3781049124
337	0.3780724667
338	0.378042454
339	0.3780147233
340	0.3779894242
341	0.3779662692
342	0.3779399017
343	0.377914523
344	0.3778990356
345	0.3778688224
346	0.3778221923
347	0.3777944623
348	0.3777711062
349	0.3777417644
350	0.3777213544
351	0.3776996454
352	0.377678665
353	0.3776529516
354	0.3776295478
355	0.3776110547
356	0.3775939322
357	0.3775707247
358	0.3775547542
359	0.3775369475
360	0.377510662
361	0.3774871076
362	0.3774721086
363	0.3774545512
364	0.3774290017
365	0.3773941341
366	0.3773684779
367	0.3773586676
368	0.3773375767
369	0.377317287
370	0.3772978518
371	0.3772738358
372	0.3772587647
373	0.3772253838
374	0.3772028479
375	0.3771847998
376	0.3771507288
377	0.3771275332
378	0.3771082855
379	0.3770873448
380	0.3770683215
381	0.3770570787
382	0.3770362044
383	0.3770182252
384	0.3769988599
385	0.3769818424
386	0.3769649459
387	0.3769491192
388	0.3769321604
389	0.376908389
390	0.3768974146
391	0.3768760753
392	0.3768640404
393	0.3768484939
394	0.3768307742
395	0.3768145981
396	0.376802545
397	0.3767923864
398	0.3767745109
399	0.3767581826
400	0.3767420789
401	0.376729013
402	0.3767073381
403	0.3766968736
404	0.3766684309
405	0.376656078
406	0.3766404154
407	0.3766259363
408	0.3766050967
409	0.3765856214
410	0.3765736008
411	0.376557677
412	0.3765462457
413	0.3765344232
414	0.376512836
415	0.3764989598
416	0.3764769648
417	0.3764648417
418	0.3764500299
419	0.3764417498
420	0.3764258468
421	0.3764105845
422	0.3763971784
423	0.3763842821
424	0.3763677167
425	0.3763473312
426	0.3763312539
427	0.3763134764
428	0.3762991398
429	0.3762837788
430	0.3762642504
431	0.3762536676
432	0.3762301044
433	0.3762096475
434	0.3761997608
435	0.3761820778
436	0.3761686624
437	0.376151369
438	0.3761329606
439	0.3761210077
440	0.3761092596
441	0.3760924849
442	0.3760803793
443	0.37606285
444	0.3760378799
445	0.3760244684
446	0.3760039116
447	0.3759743412
448	0.375955642
449	0.3759430946
450	0.375931245
451	0.3759196884
452	0.3759027572
453	0.3758886401
454	0.3758704818
455	0.375857716
456	0.3758424672
457	0.3758269589
458	0.3758160225
459	0.375800477
460	0.3757852683
461	0.375769399
462	0.37575855
463	0.3757457723
464	0.3757342295
465	0.3757226404
466	0.3757067334
467	0.3756908168
468	0.3756789495
469	0.3756637577
470	0.375649566
471	0.375641436
472	0.3756250934
473	0.3756090654
474	0.3755933986
475	0.3755792255
476	0.3755689226
477	0.3755585778
478	0.3755502534
479	0.3755384102
480	0.3755226704
481	0.3755116847
482	0.3754957551
483	0.3754817104
