iter	Passed	Remaining
0	625	624840
1	1010	504339
2	1457	484344
3	1846	459695
4	2261	449962
5	2827	468452
6	3446	488950
7	3924	486637
8	4252	468244
9	4888	483947
10	5283	475002
11	5777	475694
12	6255	474970
13	6658	468942
14	7076	464714
15	7383	454081
16	7791	450522
17	8208	447843
18	8681	448259
19	9085	445189
20	9405	438495
21	9874	438953
22	10290	437142
23	10769	437961
24	11165	435445
25	11539	432303
26	11960	431036
27	12341	428412
28	12698	425193
29	13093	423372
30	13503	422096
31	13911	420835
32	14301	419070
33	14691	417409
34	15056	415135
35	15346	410932
36	15762	410238
37	16206	410286
38	16497	406517
39	16895	405487
40	17266	403867
41	17739	404626
42	18243	406021
43	18655	405339
44	19086	405061
45	19711	408801
46	20113	407831
47	20480	406186
48	20886	405368
49	21617	410736
50	22105	411334
51	22578	411623
52	23186	414292
53	24211	424151
54	25841	444008
55	26412	445244
56	26877	444659
57	27888	452941
58	28406	453061
59	29311	459212
60	30121	463678
61	30794	465887
62	31442	467648
63	32321	472701
64	33032	475156
65	33680	476627
66	34257	477051
67	34948	478999
68	35661	481170
69	36173	480595
70	36686	480027
71	37181	479223
72	37653	478145
73	38139	477263
74	38591	475967
75	39040	474645
76	39504	473537
77	39920	471875
78	40365	470592
79	40770	468865
80	41299	468567
81	41757	467477
82	42212	466370
83	42708	465725
84	43213	465183
85	43633	463732
86	44106	462865
87	44500	461188
88	44965	460266
89	45530	460362
90	46013	459628
91	46423	458183
92	46925	457649
93	47431	457155
94	48050	457740
95	48540	457090
96	49009	456239
97	49489	455509
98	49971	454787
99	50519	454677
100	51034	454261
101	51550	453842
102	52001	452868
103	52520	452485
104	52993	451704
105	53431	450637
106	54110	451590
107	54647	451345
108	55174	451014
109	55809	451547
110	56323	451095
111	56916	451267
112	57439	450873
113	57936	450278
114	58494	450151
115	59005	449658
116	59554	449458
117	60092	449165
118	60675	449201
119	61058	447762
120	61441	446338
121	61942	445782
122	62436	445177
123	62828	443854
124	63241	442693
125	63653	441532
126	64177	441159
127	64632	440308
128	65227	440414
129	65746	439993
130	66502	441149
131	67417	443320
132	68085	443836
133	68598	443329
134	69735	446826
135	70409	447307
136	71023	447396
137	71491	446562
138	72149	446911
139	72749	446892
140	73356	446904
141	73957	446870
142	74528	446646
143	75121	446557
144	75675	446222
145	76144	445390
146	76570	444315
147	77139	444074
148	77711	443841
149	78203	443150
150	78818	443155
151	79435	443166
152	80138	443645
153	80694	443296
154	81244	442912
155	81663	441821
156	82149	441093
157	82807	441292
158	83273	440459
159	83851	440220
160	84440	440035
161	85067	440042
162	85684	439986
163	86334	440095
164	86768	439102
165	87374	438977
166	87859	438245
167	88316	437376
168	88901	437142
169	89549	437211
170	90105	436828
171	90735	436795
172	91271	436307
173	91922	436368
174	92555	436333
175	93104	435896
176	93729	435817
177	94298	435467
178	94684	434280
179	95242	433884
180	95616	432652
181	96231	432514
182	96850	432387
183	97703	433291
184	98437	433657
185	98985	433192
186	99468	432447
187	100202	432789
188	100836	432690
189	101446	432481
190	102402	433736
191	103087	433827
192	103761	433862
193	104329	433452
194	104925	433155
195	105446	432545
196	106009	432110
197	106559	431620
198	107189	431452
199	107724	430899
200	108257	430338
201	108850	430013
202	109435	429656
203	109949	429019
204	110631	429034
205	111268	428869
206	111812	428344
207	112298	427596
208	112829	427023
209	113395	426583
210	113868	425791
211	114432	425345
212	115033	425028
213	115693	424930
214	116355	424832
215	117334	425882
216	118007	425805
217	118648	425611
218	119612	426564
219	120392	426844
220	121096	426852
221	121767	426734
222	122358	426335
223	122878	425686
224	123247	424520
225	123836	424110
226	124560	424163
227	125123	423664
228	125653	423053
229	126126	422247
230	126716	421840
231	127300	421409
232	128367	422565
233	128893	421934
234	129675	422136
235	130270	421721
236	130919	421482
237	131463	420903
238	132106	420641
239	132767	420431
240	133465	420331
241	134187	420307
242	135011	420590
243	135664	420338
244	136228	419805
245	136938	419722
246	137740	419914
247	138803	420887
248	139639	421162
249	140312	420938
250	141097	421045
251	142255	422249
252	142968	422125
253	143624	421826
254	144122	421063
255	144599	420240
256	145248	419921
257	145852	419467
258	146463	419033
259	146984	418341
260	147566	417822
261	148098	417163
262	148687	416663
263	149223	416017
264	149957	415919
265	150608	415588
266	151144	414940
267	151717	414392
268	152467	414327
269	153412	414782
270	154118	414585
271	154837	414416
272	155920	415215
273	156594	414917
274	157225	414503
275	157876	414138
276	158516	413744
277	159233	413548
278	160041	413583
279	160882	413699
280	161594	413473
281	162259	413128
282	162766	412379
283	163529	412278
284	164175	411878
285	164780	411375
286	165546	411270
287	166178	410831
288	166811	410390
289	167330	409670
290	168104	409575
291	168818	409325
292	169500	409000
293	170057	408369
294	170584	407667
295	171306	407431
296	171915	406925
297	172587	406565
298	173365	406452
299	174053	406124
300	174726	405760
301	175395	405384
302	176113	405118
303	176939	405097
304	177513	404497
305	178300	404381
306	179124	404343
