,credit_score,first_payment_date,maturity_date,msa,mortgage_insurance_pct,num_units,cltv,dti,original_upb,ltv,interest_rate,postal_code,original_loan_term,num_borrowers,property_valuation_method,max_delinquency,avg_delinquency,months_delinquent,loan_age_max,loan_age_avg,remaining_term_avg,current_rate_avg,current_rate_max,current_rate_min,estimated_ltv_avg,estimated_ltv_max,ever_modified,modification_count,ever_assistance,assistance_count,ever_zero_balance,rate_volatility,credit_score_norm,dti_norm,interest_rate_norm,ltv_norm,num_borrowers_norm,bss_level,delinquency_intensity,modification_intensity,assistance_intensity,eltv_drift,year,quarter_num,serviceability_score
credit_score,1.0,0.016295961557786683,-0.003390538885285556,-0.0022734208455896547,-0.029562996646200563,0.007502410885187601,-0.053562994049715595,-0.13868160730342757,0.06493393192927051,-0.05037718864923107,-0.2505766909334034,-0.008806131372345953,-0.003532435533261708,-0.043562882710292364,-0.026424529483424913,-0.15255331626806135,-0.11095484489321242,-0.18530074378990286,-0.07105391263915226,-0.0676251560479729,0.0028951624671297287,-0.2435814512200601,-0.2506117645130418,-0.2313799087120202,0.01886059143013596,0.036935997662918676,-0.09099078042279843,-0.07957294282122003,-0.1673770771555287,-0.14985142675559257,0.0631451640374692,-0.05506165839382803,0.9980829865798785,0.1386816073034232,0.23121394083751204,0.03755004730637389,-0.03690927367107005,0.6306354870989576,-0.1844036669001793,-0.07970687886524663,-0.1449474691129044,0.022829898219670897,,0.013558679027155261,0.42361468118989787
first_payment_date,0.016295961557786683,1.0,0.0349849675009427,-0.005130158172086449,0.0202502642055545,-0.0098062134712549,0.012515138127621492,-0.009177718722879325,0.01801155151735728,0.013210154265570616,0.14166388416232936,-0.014396600396869593,0.02681744793414274,0.025838700724404546,0.0047540311019834336,-0.008237241304537984,-0.0037104030813653877,-0.007495052544041165,-0.06967177116076827,-0.06926603082333536,0.03941855396654014,0.1412125726072615,0.14167197300026543,0.13836619659591987,0.022143541611431738,0.01617035748372691,-0.0039704404100009754,-0.003747432716191734,-0.009925698317685312,-0.00794986096247716,0.024569006034277446,0.001965180257964928,0.012752292027179183,0.009177718722895592,0.16787892815199185,0.2585924908190156,-0.12397825089730344,0.014157532797713104,-0.004730468800608002,-0.0031109906306296736,-0.004982961338957683,0.021140299682211622,,0.31009246762663045,0.009837088603544219
maturity_date,-0.003390538885285556,0.0349849675009427,1.0,0.022654180679253455,0.23956438596457244,0.011439280377226298,0.2911233362749469,0.1185364654280015,0.16860720210060406,0.29163488640933727,0.45637140932262826,0.04728826582340357,0.999962469529338,-0.034572918010588385,0.04410209425528423,0.03366066022014598,0.027491174456197795,0.03167925462791681,-0.11413402445024223,-0.11314387648288618,0.9744666661001926,0.45311034487013246,0.4564135768789022,0.44153660409141127,0.0530427826524313,0.09532872610545555,0.02124591505999261,0.019199877895721244,0.03830277749724598,0.035353351592389025,0.07688019566011312,0.022625913778347946,-0.0040975264926372545,-0.11853646542799622,-0.33105323489101174,-0.10472375364678993,-0.05999987570774643,-0.164630498699495,0.03599528646381104,0.019452643316040432,0.038303597438871455,0.030316763145241205,,0.061406353970500704,-0.2334180849158827
msa,-0.0022734208455896547,-0.005130158172086449,0.022654180679253455,1.0,-0.024936449124191493,0.0005998023790639969,-0.04045731175858794,0.027643504141773346,0.07510206505227518,-0.04049644974816752,0.021163531843263788,0.09383917988452341,0.022705554866919053,0.018327813611949226,-0.0005733042517219883,0.0016982668852859044,0.0007623197606503643,-0.0005851984580043349,-0.016182399878585118,-0.016479792817948556,0.025185921846122086,0.021145379232427687,0.021163609907019994,0.020727510179360108,0.009295171856020185,0.009857663872272066,0.0017727955360538536,0.002353889952322831,0.0029047269562516255,0.0014768067939861745,0.007290389865432026,-3.7520264250294986e-06,-0.002225785512326284,-0.027643504141772645,-0.02822218383826867,0.01172398886586324,0.017554253227694383,-0.015050658213516126,0.000436073133980652,0.002720491914971809,0.002502172028545626,0.012569386258367905,,-0.011023269559822413,0.003722313873960084
mortgage_insurance_pct,-0.029562996646200563,0.0202502642055545,0.23956438596457244,-0.024936449124191493,1.0,-0.07154511652071505,0.659227792354029,0.07445551354209325,0.0719365631228208,0.6679565203165069,0.07217330807974678,-0.057665391391746784,0.2394486577075707,-0.045338839730708,0.10986077706282744,0.0365963993229386,0.029236037245301848,0.04129088628458513,-0.05052857253558778,-0.054962437799409604,0.24152554683005162,0.06729330335335544,0.07220692439055525,0.061740319609788846,0.024333881099300268,0.03345442678698605,0.03304425737734573,0.03323657925171618,0.044782075159753354,0.04176436583476419,0.04476198132649963,0.034854586487507055,-0.031144155461244008,-0.07445551354209039,0.0018828286324490634,-0.28394696483024157,-0.0667363988990429,-0.10555189140842827,0.043402597483038485,0.03288261666961206,0.044483129431224185,-0.027856539121957555,,0.0699275861164074,-0.4023727470288992
num_units,0.007502410885187601,-0.0098062134712549,0.011439280377226298,0.0005998023790639969,-0.07154511652071505,1.0,-0.06929291996755774,0.02245256213559214,0.0682539304223399,-0.06767316494719576,0.10304013822715441,-0.027113051303724055,0.011527580452968294,-0.015071298395047386,0.023343726755136497,0.021347243414606212,0.011152089925756888,0.011037890163142655,0.04078220803246292,0.04056160680349458,0.0027903267879394065,0.1022926826857036,0.10304594213279926,0.09931761196217867,0.21610318579835425,0.03670215280765124,0.003632967532974003,0.0028820521301266963,0.025945338678085704,0.021314513139964457,-0.03383555639657272,0.00653275646030855,0.007600496881288233,-0.022452562135593036,-0.09805919818382584,0.026531901709237585,-0.007729877980255926,-0.03392910394309363,0.00994873722209299,0.0031205176848505003,0.01907395787116245,0.221720060444048,,-0.010694437464014642,0.017780748546065445
cltv,-0.053562994049715595,0.012515138127621492,0.2911233362749469,-0.04045731175858794,0.659227792354029,-0.06929291996755774,1.0,0.09085557932952333,0.15453724933792248,0.9893719662135446,0.17079608101450788,-0.07983862811630477,0.29109636130880656,-0.04682397664874467,0.0874552461930406,0.0429794363536518,0.034155488696565,0.0443956118154443,-0.08366216726565005,-0.08555069998579319,0.2970522865453593,0.1663112361201134,0.17082647710407692,0.15905210381549434,0.05671844421951529,0.05782123176902735,0.033487346958066065,0.03274358603524327,0.053947688153302906,0.0484221517613728,0.07152555317878882,0.032392175740016564,-0.05436570040743651,-0.09085557932951999,-0.08499821306731405,-0.46615398571472394,-0.06674394843293958,-0.14405540315746612,0.04686512237660506,0.03220290608996595,0.051166948523801416,-0.020545137138909868,,0.06551353610767309,-0.5771530978361967
dti,-0.13868160730342757,-0.009177718722879325,0.1185364654280015,0.027643504141773346,0.07445551354209325,0.02245256213559214,0.09085557932952333,1.0,0.13021368676726822,0.08912240925639628,0.11800160575372394,0.054915810727671356,0.11864888517918608,-0.073481456209844,0.015843473231341332,0.0803971454827862,0.0534783102463141,0.0761669548049126,-0.007196394782531005,-0.009505197819469468,0.11823871689909765,0.11412902972891739,0.11803055768059803,0.10770309622573446,0.025711361631870478,0.00606458815047614,0.043167860685068206,0.03825034138451903,0.10509047169243706,0.08952946777474119,-0.007063703480624363,0.031033916758246956,-0.13780845885373896,-0.9999999999999928,-0.09563655406072312,-0.04123853538715416,-0.05927652581676078,-0.650899952580645,0.07933030473398195,0.03863832950633237,0.08820534479436136,0.018827039437692893,,0.004613203350444244,-0.7850085917779851
original_upb,0.06493393192927051,0.01801155151735728,0.16860720210060406,0.07510206505227518,0.0719365631228208,0.0682539304223399,0.15453724933792248,0.13021368676726822,1.0,0.14248441305769988,-0.07127707640982854,0.16125436477456054,0.1685032488539322,0.15391082932843667,-0.022589652024285197,0.008661983292809488,0.006934149894722923,-0.011634659509987445,-0.25908371785075945,-0.2565153549117381,0.21366758464044416,-0.0735579260107318,-0.07128238872219708,-0.0749235974153714,0.016268173724747162,0.1006929617849667,0.011473381499148403,0.011665257078210929,0.018853798720423448,0.022622023273306355,0.18286876323861037,0.01945976693802365,0.06524366592880797,-0.13021368676727496,0.07284885387618227,-0.06890564662562856,0.11266480136746851,0.026211366324205107,0.0006023317247454159,0.012922122927511525,0.03189965317634144,0.005142060877134669,,0.00722832912504369,-0.11000061659763449
ltv,-0.05037718864923107,0.013210154265570616,0.29163488640933727,-0.04049644974816752,0.6679565203165069,-0.06767316494719576,0.9893719662135446,0.08912240925639628,0.14248441305769988,1.0,0.16975067964478102,-0.08133677951061506,0.29160089156245755,-0.04891646987115307,0.08538397234057492,0.040660190240504,0.032224978115878766,0.04269778018784095,-0.08252222542105331,-0.08435308039750838,0.2972021891450818,0.1653423795612394,0.16978116760803277,0.15819915319766828,0.05763926450511305,0.05741416105345737,0.03246554749493273,0.03187330077597667,0.05162340232224048,0.046254334486775676,0.07062341936121909,0.03173044350627617,-0.05126089459505154,-0.08912240925640105,-0.08232760148701909,-0.47054543512321195,-0.06928192110996832,-0.14352979855502582,0.0448883019915856,0.03132624277112939,0.048891564023084144,-0.020453186306051592,,0.06722279301623113,-0.5803622683670002
