feature,score
max_delinquency,0.45689801493615567
avg_delinquency,0.44683778944912145
months_delinquent,0.43080381953310587
delinquency_intensity,0.4286715739960695
assistance_count,0.19623505103460426
assistance_intensity,0.19596827438030018
ever_assistance,0.17928716866907934
num_units,0.14830240816034812
ever_zero_balance,0.1310570048102504
estimated_ltv_max,0.1004484682711404
property_valuation_method,0.08841362319664126
original_loan_term,0.08749405310146208
quarter_num,0.08539930044794497
year,0.08451203576483057
loan_age_avg,0.07286852843458158
remaining_term_avg,0.07278203221163437
loan_age_max,0.04960281810726963
num_borrowers,0.045297914469197176
modification_intensity,0.03542993932100247
ever_modified,0.035390355183382516
modification_count,0.035046039837083764
current_rate_avg,0.02653437612708598
eltv_drift,0.024814789967224637
current_rate_min,0.023979891694394517
num_borrowers_norm,0.023617934466485524
estimated_ltv_avg,0.02282457721568698
credit_score,0.02276392291441809
credit_score_norm,0.02275015179207096
first_payment_date,0.0211957634754798
serviceability_score,0.017172627046720068
rate_volatility,0.01705778241236433
interest_rate,0.01595585240373132
ltv,0.01580954133456114
current_rate_max,0.01556393592409444
cltv,0.01511689633326685
maturity_date,0.013443069957247866
interest_rate_norm,0.013007682027208034
mortgage_insurance_pct,0.012465499101222077
dti,0.00964904447012449
dti_norm,0.009142818859028568
ltv_norm,0.008198573451593472
msa,0.007646635521648015
postal_code,0.006252769856592177
original_upb,0.0020805653979676375
