,count,mean,std,min,25%,50%,75%,max
credit_score,661216.0,746.3055673183952,45.87029720069359,427.0,714.0,753.0,784.0,850.0
first_payment_date,661318.0,201805.9046192603,4.787010674971187,201801.0,201804.0,201806.0,201807.0,202111.0
maturity_date,661318.0,204574.3073302103,525.6611972078001,202602.0,204802.0,204804.0,204806.0,206310.0
msa,598004.0,30050.528116868783,11227.620677599665,10180.0,19124.0,31084.0,39580.0,49740.0
mortgage_insurance_pct,661318.0,8.007267305592771,12.185870765726207,0.0,0.0,0.0,25.0,999.0
num_units,661318.0,1.0343556352617047,0.24610195693488937,1.0,1.0,1.0,1.0,4.0
cltv,661297.0,76.16103052032597,17.114931437945085,4.0,69.0,80.0,90.0,514.0
dti,652636.0,35.741388768011575,9.446671574910694,1.0,29.0,37.0,43.0,50.0
original_upb,661318.0,235332.2471186328,123148.2913895461,7000.0,143000.0,211000.0,309000.0,1307000.0
ltv,661303.0,75.87353905849513,17.14139257461342,4.0,69.0,80.0,90.0,514.0
interest_rate,661318.0,4.573838088483907,0.4499642948225334,0.0,4.25,4.625,4.875,6.625
postal_code,661318.0,55058.98962375136,28955.132418745994,600.0,30500.0,54400.0,80900.0,99900.0
original_loan_term,661318.0,332.3312022355357,63.06124228906919,96.0,360.0,360.0,360.0,545.0
num_borrowers,661318.0,1.469398988081377,0.513986645372552,1.0,1.0,1.0,2.0,5.0
property_valuation_method,661318.0,6.836789562661231,0.9760258283841845,1.0,7.0,7.0,7.0,7.0
stress_level,661318.0,0.17476614881191802,0.462969566258622,0.0,0.0,0.0,0.0,2.0
max_delinquency,661318.0,0.615292491660593,2.744314329843768,0.0,0.0,0.0,0.0,98.0
avg_delinquency,661318.0,0.08506089674229843,0.6078764412230645,0.0,0.0,0.0,0.0,33.74444444444445
months_delinquent,661318.0,1.1149855288983515,5.012451327089602,0.0,0.0,0.0,0.0,88.0
loan_age_max,661318.0,42.291882271463955,27.250199851466054,0.0,23.0,32.0,61.0,92.0
loan_age_avg,661318.0,21.2628035434015,13.640974932898763,0.0,11.5,16.5,30.0,57.5
remaining_term_avg,661318.0,311.5999284086433,66.27625566309129,50.5,316.0,342.0,348.0,501.0
current_rate_avg,661318.0,4.570278115609456,0.4504181613030091,2.5,4.25,4.6,4.875,6.625
current_rate_max,661318.0,4.5738451274575915,0.44992941536215114,2.5,4.25,4.625,4.875,6.625
current_rate_min,661318.0,4.566115363561857,0.45898785468391945,2.5,4.25,4.59,4.875,6.625
estimated_ltv_avg,661318.0,180.7934596837758,219.58318575058607,1.9111111111111112,76.92307692307692,111.15555555555555,154.08333333333334,999.0
estimated_ltv_max,661318.0,859.5284401755283,331.0200204559516,3.0,999.0,999.0,999.0,999.0
ever_modified,661318.0,0.010076846539788725,0.09987651769860303,0.0,0.0,0.0,0.0,1.0
modification_count,661318.0,0.33406772536056784,3.764952570590362,0.0,0.0,0.0,0.0,79.0
ever_assistance,661318.0,0.06983932087135085,0.25487622164987994,0.0,0.0,0.0,0.0,1.0
assistance_count,661318.0,0.6170208583465141,2.8689480290178655,0.0,0.0,0.0,0.0,51.0
ever_zero_balance,661318.0,0.7881654514167163,0.4086085230103869,0.0,1.0,1.0,1.0,1.0
rate_volatility,661318.0,0.007729763895735486,0.1190650312962192,0.0,0.0,0.0,0.0,3.625
credit_score_norm,661216.0,0.7534641367254329,0.11639693184431651,0.0,0.6713947990543735,0.7706855791962175,0.8502673796791443,1.0
dti_norm,652636.0,0.2909920659589475,0.19278921581450395,0.0,0.1428571428571429,0.26530612244897955,0.4285714285714286,1.0
interest_rate_norm,661318.0,0.4053739052984704,0.10330181264053809,0.0,0.33333333333333337,0.39636363636363636,0.48484848484848486,1.0
ltv_norm,661303.0,0.7823721275008276,0.10049477938043624,0.0,0.6844444444444444,0.8215686274509804,0.8509803921568627,1.0
num_borrowers_norm,661318.0,0.27254550760753526,0.38729343393045684,0.0,0.0,0.0,0.25,1.0
delinquency_intensity,661318.0,0.020413523830630956,0.08951259466272789,0.0,0.0,0.0,0.0,2.6333333333333333
modification_intensity,661318.0,0.006900806705481832,0.07769635887391439,0.0,0.0,0.0,0.0,2.875
assistance_intensity,661318.0,0.011449529222376137,0.053958272917017935,0.0,0.0,0.0,0.0,1.3333333333333333
eltv_drift,661303.0,104.92247110159654,219.26567924665272,-125.4659090909091,3.3333333333333286,31.769230769230774,74.08333333333334,992.0
year,661318.0,2018.0,0.0,2018.0,2018.0,2018.0,2018.0,2018.0
quarter_num,661318.0,1.5511750776479696,0.49737459273785145,1.0,1.0,2.0,2.0,2.0
serviceability_score,652522.0,55.74476020371277,6.898949459909788,37.77058823529412,50.59411764705882,54.90588235294118,60.076470588235296,88.1470588235294
