column,outlier_count,outlier_pct
credit_score,830,0.13
first_payment_date,1328,0.2
maturity_date,111851,16.91
msa,0,0.0
mortgage_insurance_pct,1,0.0
num_units,15797,2.39
cltv,26464,4.0
dti,1014,0.15
original_upb,11768,1.78
ltv,27059,4.09
interest_rate,5789,0.88
postal_code,0,0.0
original_loan_term,111364,16.84
num_borrowers,509,0.08
property_valuation_method,17989,2.72
stress_level,92391,13.97
max_delinquency,90148,13.63
avg_delinquency,90148,13.63
months_delinquent,90148,13.63
loan_age_max,0,0.0
loan_age_avg,0,0.0
remaining_term_avg,110563,16.72
current_rate_avg,5732,0.87
current_rate_max,5788,0.88
current_rate_min,7951,1.2
estimated_ltv_avg,87586,13.24
estimated_ltv_max,99746,15.08
ever_modified,6664,1.01
modification_count,6664,1.01
ever_assistance,46186,6.98
assistance_count,46186,6.98
ever_zero_balance,140090,21.18
rate_volatility,3171,0.48
credit_score_norm,818,0.12
dti_norm,1014,0.15
interest_rate_norm,1650,0.25
ltv_norm,49,0.01
num_borrowers_norm,137354,20.77
delinquency_intensity,90148,13.63
modification_intensity,6664,1.01
assistance_intensity,46186,6.98
eltv_drift,92156,13.94
year,0,0.0
quarter_num,0,0.0
serviceability_score,7483,1.13
